ID,X,Y,Z,Gradient_X,Gradient_Y,Gradient_Z,Magnitude
2063,13,2,5,-149.922,-338.569,121.788,389.793
2064,14,2,5,-276.394,-361.13,395.543,602.713
2065,15,2,5,-147.773,385.573,46.7562,415.56
2066,16,2,5,209.022,435.113,-238.596,538.462
2067,17,2,5,304.213,-205.804,-229.843,433.277
2068,18,2,5,-526.342,-17.7414,435.049,683.095
2069,19,2,5,-474.447,-47.4547,294.153,560.249
2070,20,2,5,414.029,48.9944,-254.723,488.574
2071,21,2,5,937.838,672.687,-481.602,1250.59
2072,22,2,5,34.5962,1313.01,-253.482,1337.71
2073,23,2,5,-359.912,322.763,412.695,635.633
2074,24,2,5,199.078,-401.131,-466.283,646.497
2075,0,3,5,867.17,156.366,755.15,1160.47
2076,1,3,5,200.829,898.841,58.1108,922.835
2077,2,3,5,-294.976,213.641,17.4067,364.632
2078,3,3,5,-31.1662,-1001.41,94.414,1006.33
2079,4,3,5,-55.4847,-422.293,-253.122,495.46
2080,5,3,5,-74.8122,-415.557,5.5516,422.274
2081,6,3,5,126.955,-171.624,28.7668,215.407
2082,7,3,5,-8.95113,349.114,-178.092,392.017
2083,8,3,5,-569.338,103.542,-852.7,1030.52
2084,9,3,5,-648.043,-41.7867,-846.072,1066.56
2085,10,3,5,-350.404,15.8518,-819.237,891.17
2086,11,3,5,109.051,-12.5134,-333.447,351.049
2087,12,3,5,302.45,-210.42,137.906,393.409
2088,13,3,5,-166.485,-393.42,-215.662,478.547
2089,14,3,5,218.755,-113.141,79.7899,258.884
2090,15,3,5,359.594,1777.02,372.081,1850.82
2091,16,3,5,-348.694,1263.92,-318.954,1349.38
2092,17,3,5,-341.913,-544.035,-71.7253,646.547
2093,18,3,5,-223.936,-519.839,290.682,636.299
2094,19,3,5,-95.7489,-90.6084,142.564,194.17
2095,20,3,5,692.321,-52.3967,-188.782,719.509
2096,21,3,5,1309.02,-292.049,-967.667,1653.85
2097,22,3,5,211.997,-551.527,-263.428,646.931
2098,23,3,5,-1048.13,42.5729,637.246,1227.38
2099,24,3,5,-1159.97,12.9813,-724.874,1367.89
2100,0,4,5,2008.36,-357.411,-696.856,2155.65
2101,1,4,5,713.102,-538.733,-44.7973,894.849
2102,2,4,5,-801.982,-235.029,4.38913,835.723
2103,3,4,5,-927.086,-602.968,692.109,1304.64
2104,4,4,5,-463.782,-522.385,552.6,890.701
2105,5,4,5,265.581,-530.515,635.888,869.674
2106,6,4,5,382.701,-851.108,549.239,1082.82
2107,7,4,5,-181.226,-709.309,-65.2755,734.999
2108,8,4,5,-351.301,-454.271,-439.751,723.295
2109,9,4,5,-76.071,57.9612,-212.806,233.308
2110,10,4,5,-112.317,596.915,11.376,607.496
2111,11,4,5,11.7612,716.766,48.3783,718.494
2112,12,4,5,121.11,158.253,203.934,285.133
2113,13,4,5,-52.6431,-268.806,-211.539,346.088
2114,14,4,5,1894.05,73.9078,125.678,1899.65
2115,15,4,5,1229.29,968.006,1754.64,2350.95
2116,16,4,5,-2112.03,547.257,1597.49,2704.1
2117,17,4,5,-1479.55,-18.5199,-112.551,1483.94
2118,18,4,5,-72.9155,300.718,-192.188,364.259
2119,19,4,5,-7.00497,163.397,-223.752,277.151
2120,20,4,5,212.588,200.741,-51.2859,296.852
2121,21,4,5,438.708,286.447,-433.199,679.836
2122,22,4,5,369.218,-561.821,-47.6106,673.967
2123,23,4,5,204.596,275.745,-147.165,373.568
2124,24,4,5,139.895,1368.62,-195.865,1389.62
2125,0,5,5,504.525,-41.9666,-693.189,858.381
2126,1,5,5,323.211,-1137.05,-321.527,1225.04
2127,2,5,5,-359.211,-1057.85,277.147,1151.04
2128,3,5,5,-318.523,-648.469,557.753,912.72
2129,4,5,5,16.9689,-187.381,-29.4411,190.437
2130,5,5,5,-403.535,-180.806,90.991,451.454
2131,6,5,5,-51.8396,-518.975,184.483,553.224
2132,7,5,5,387.886,-381.135,226.718,589.169
2133,8,5,5,197.933,32.9827,-68.3704,211.99
2134,9,5,5,403.143,360.187,-74.5447,545.725
2135,10,5,5,308.401,1106.97,-393.307,1214.58
2136,11,5,5,-329.611,1360.67,-2.0878,1400.03
2137,12,5,5,-683.122,755.293,349.079,1076.56
2138,13,5,5,-250.831,-69.4668,182.253,317.739
2139,14,5,5,1455.57,52.8519,111.976,1460.82
2140,15,5,5,832.944,-2095.56,1867.06,2927.64
2141,16,5,5,-1335.22,-1377.14,1822.57,2645.96
2142,17,5,5,-588.452,544.627,22.5336,802.124
2143,18,5,5,-42.0192,1289.2,-34.1652,1290.33
2144,19,5,5,-195.726,1783.75,-179.537,1803.41
2145,20,5,5,815.371,1271.42,-57.8631,1511.52
2146,21,5,5,546.458,973.467,3.95203,1116.36
2147,22,5,5,201.296,629.607,359.507,752.443
2148,23,5,5,882.314,786.548,47.7005,1182.97
2149,24,5,5,1025.78,-62.2365,-571.511,1175.89
2150,0,6,5,-181.812,141.737,-129.627,264.477
2151,1,6,5,-302.786,-79.9228,-138.5,342.417
2152,2,6,5,-313.4,-387.753,-435.605,662.06
2153,3,6,5,-56.6122,29.3792,-90.004,110.312
2154,4,6,5,3.88062,-66.712,18.2222,69.2647
2155,5,6,5,-66.013,48.9655,50.3598,96.3922
2156,6,6,5,182.372,429.494,82.6396,473.872
2157,7,6,5,370.732,209.588,62.8235,430.483
2158,8,6,5,390.021,456.067,-96.5324,607.809
2159,9,6,5,997.921,672.3,181.037,1216.8
2160,10,6,5,888.167,762.292,-264.549,1199.97
2161,11,6,5,-339.92,28.6635,447.601,562.774
2162,12,6,5,-1309.03,138.887,1354.06,1888.47
2163,13,6,5,-755.084,613.782,562.129,1123.77
2164,14,6,5,-132.046,641.473,-111.235,664.302
2165,15,6,5,-200.701,-1226.55,181.979,1256.12
2166,16,6,5,528.153,-632.655,91.6317,829.213
2167,17,6,5,1186.79,207.34,-139.008,1212.76
2168,18,6,5,1166.21,1299.52,-811.022,1925.24
2169,19,6,5,-24.7821,1615.36,890.952,1844.94
2170,20,6,5,-597.693,769.498,1092.65,1463.99
2171,21,6,5,-203.106,-338.383,-3.5233,394.674
2172,22,6,5,182.299,-331.908,69.5095,385.003
2173,23,6,5,-487.247,-997.076,-57.0964,1111.23
2174,24,6,5,-1557.67,-1444.07,-288.415,2143.57
2175,0,7,5,61.2065,254.32,262.36,370.483
2176,1,7,5,-206.278,352.341,-274.911,492.211
2177,2,7,5,-249.909,561.96,-405.468,736.653
2178,3,7,5,2.51766,685.825,147.22,701.453
2179,4,7,5,36.5551,501.915,157.723,527.382
2180,5,7,5,92.6718,399.284,180.524,447.889
2181,6,7,5,108.783,423.138,152.566,462.77
2182,7,7,5,414.459,179.47,-23.9906,452.284
2183,8,7,5,660.645,-60.5902,-2.57562,663.423
2184,9,7,5,709.367,-132.75,436.133,843.23
2185,10,7,5,-335.236,-686.335,-4.6753,763.846
2186,11,7,5,-953.016,-945.482,-2.42191,1342.45
2187,12,7,5,-98.0034,-506.244,133.8,532.72
2188,13,7,5,251.756,116.793,-460.204,537.41
2189,14,7,5,-384.766,772.475,187.599,883.152
2190,15,7,5,-441.185,721.848,-4.74623,846.009
2191,16,7,5,98.6712,195.533,98.9243,240.323
2192,17,7,5,1343.72,-268.259,-1223.12,1836.73
2193,18,7,5,1366.0,-763.583,-1218.5,1983.37
2194,19,7,5,-725.745,-1340.84,1023.61,1836.39
2195,20,7,5,-1138.37,-422.454,606.544,1357.3
2196,21,7,5,-554.948,-696.238,-202.011,912.975
2197,22,7,5,-457.397,-766.172,-274.339,933.538
2198,23,7,5,-229.847,-1117.99,-25.0878,1141.65
2199,24,7,5,131.793,1257.47,-16.787,1264.47
2200,0,8,5,14.2305,349.197,-105.402,365.036
2201,1,8,5,4.85427,358.474,-137.494,383.968
2202,2,8,5,20.0833,579.21,116.13,591.078
2203,3,8,5,-116.658,478.892,415.041,644.365
2204,4,8,5,-282.66,234.778,638.179,736.404
2205,5,8,5,-144.79,769.083,747.442,1082.18
2206,6,8,5,-37.442,698.112,741.431,1019.06
2207,7,8,5,-112.997,-410.105,661.284,786.289
2208,8,8,5,77.8012,-768.445,256.299,813.787
2209,9,8,5,372.176,-604.916,265.843,758.361
2210,10,8,5,75.4354,-1270.96,-266.137,1300.72
2211,11,8,5,-159.83,-673.75,-1.53396,692.45
2212,12,8,5,-246.753,-174.442,-101.745,318.856
2213,13,8,5,523.635,-129.803,197.888,574.632
2214,14,8,5,473.009,-263.224,179.539,570.314
2215,15,8,5,-777.644,53.7773,-684.055,1037.09
2216,16,8,5,-461.954,728.957,69.9079,865.833
2217,17,8,5,227.672,27.4236,38.701,232.561
2218,18,8,5,93.6273,-1660.38,-13.4177,1663.07
2219,19,8,5,316.347,-1685.89,312.098,1743.47
2220,20,8,5,46.9059,-999.014,96.4281,1004.75
2221,21,8,5,-546.824,-633.165,-328.485,898.786
2222,22,8,5,-239.456,-475.632,-242.569,585.154
2223,23,8,5,1536.4,49.2838,861.509,1762.14
2224,24,8,5,3193.25,1429.07,1425.71,3777.8
2225,0,9,5,79.7596,-143.569,153.448,224.766
2226,1,9,5,23.7344,-201.059,60.3861,211.269
2227,2,9,5,-129.49,-551.823,509.8,762.347
2228,3,9,5,-341.914,-582.483,822.049,1063.93
2229,4,9,5,326.746,-402.239,829.006,977.656
2230,5,9,5,556.005,1922.04,-249.92,2016.39
2231,6,9,5,-1070.41,1830.89,-24.4299,2120.97
2232,7,9,5,-1052.1,-255.758,627.087,1251.22
2233,8,9,5,465.834,203.722,150.165,530.145
2234,9,9,5,206.849,1185.89,9.63293,1203.83
2235,10,9,5,-404.07,280.846,-40.0106,493.709
2236,11,9,5,143.505,-520.599,261.624,600.053
2237,12,9,5,445.944,-278.317,517.979,737.99
2238,13,9,5,162.974,24.2014,461.491,490.021
2239,14,9,5,-201.186,-645.911,-53.4809,678.629
2240,15,9,5,550.996,-507.758,-129.074,760.313
2241,16,9,5,72.3175,733.818,59.9055,739.802
2242,17,9,5,-1045.62,40.4476,-194.616,1064.34
2243,18,9,5,-347.31,149.338,-10.6214,378.205
2244,19,9,5,-64.3797,503.659,-87.28,515.204
2245,20,9,5,-85.6488,-151.72,-29.2357,176.662
2246,21,9,5,-31.5671,-75.1502,-31.3227,87.3221
2247,22,9,5,225.051,290.587,-0.455742,367.545
2248,23,9,5,1674.86,390.06,508.33,1793.23
2249,24,9,5,2891.37,-1221.62,1527.88,3490.96
2250,0,10,5,-100.751,146.365,87.2605,197.959
2251,1,10,5,-403.4,-728.578,-124.451,842.048
2252,2,10,5,-361.34,-763.1,13.4702,844.434
2253,3,10,5,32.9265,-311.504,106.943,330.992
2254,4,10,5,2221.86,57.7062,-104.406,2225.06
2255,5,10,5,2088.34,-523.094,-137.155,2157.22
2256,6,10,5,-2215.24,-552.866,181.363,2290.38
2257,7,10,5,-1740.16,253.448,163.791,1766.13
2258,8,10,5,1519.45,818.093,320.056,1755.12
2259,9,10,5,449.3,445.966,-5.03103,633.074
2260,10,10,5,-1631.05,71.1438,-543.115,1720.57
2261,11,10,5,-718.993,-134.379,102.634,738.608
2262,12,10,5,298.047,-243.731,338.16,512.435
2263,13,10,5,156.041,64.5265,-40.2424,173.585
2264,14,10,5,-58.9506,-169.897,-35.2884,183.263
2265,15,10,5,602.085,-74.6319,119.491,618.348
2266,16,10,5,86.2518,-348.944,-3.11234,359.459
2267,17,10,5,-356.807,1326.56,-235.655,1393.77
2268,18,10,5,556.839,1175.08,674.723,1464.97
2269,19,10,5,15.2884,1345.42,-362.094,1393.38
2270,20,10,5,-531.903,1372.77,-42.9945,1472.85
2271,21,10,5,-104.516,1096.08,34.4015,1101.59
